Sn.No:,User_name,Repository name,Repository url
1,mrdoob,three.js,https://github.com/mrdoob/three.js
2,libgdx,libgdx,https://github.com/libgdx/libgdx
3,pmndrs,react-three-fiber,https://github.com/pmndrs/react-three-fiber
4,BabylonJS,Babylon.js,https://github.com/BabylonJS/Babylon.js
5,ssloy,tinyrenderer,https://github.com/ssloy/tinyrenderer
6,aframevr,aframe,https://github.com/aframevr/aframe
7,lettier,3d-game-shaders-for-beginners,https://github.com/lettier/3d-game-shaders-for-beginners
8,FreeCAD,FreeCAD,https://github.com/FreeCAD/FreeCAD
9,metafizzy,zdog,https://github.com/metafizzy/zdog
10,CesiumGS,cesium,https://github.com/CesiumGS/cesium
11,timzhang642,3D-Machine-Learning,https://github.com/timzhang642/3D-Machine-Learning
12,isl-org,Open3D,https://github.com/isl-org/Open3D
13,a1studmuffin,SpaceshipGenerator,https://github.com/a1studmuffin/SpaceshipGenerator
14,blender,blender,https://github.com/blender/blender
15,domlysz,BlenderGIS,https://github.com/domlysz/BlenderGIS
16,openscad,openscad,https://github.com/openscad/openscad
17,spritejs,spritejs,https://github.com/spritejs/spritejs
18,google,model-viewer,https://github.com/google/model-viewer
19,jagenjo,webglstudio.js,https://github.com/jagenjo/webglstudio.js
20,tensorspace-team,tensorspace,https://github.com/tensorspace-team/tensorspace
