Sn.No:,User_name,Repository name,Repository url
1,public-apis,public-apis,https://github.com/public-apis/public-apis
2,neovim,neovim,https://github.com/neovim/neovim
3,tiangolo,fastapi,https://github.com/tiangolo/fastapi
4,strapi,strapi,https://github.com/strapi/strapi
5,hoppscotch,hoppscotch,https://github.com/hoppscotch/hoppscotch
6,slatedocs,slate,https://github.com/slatedocs/slate
7,meilisearch,meilisearch,https://github.com/meilisearch/meilisearch
8,hasura,graphql-engine,https://github.com/hasura/graphql-engine
9,ccxt,ccxt,https://github.com/ccxt/ccxt
10,Binaryify,NeteaseCloudMusicApi,https://github.com/Binaryify/NeteaseCloudMusicApi
11,YMFE,yapi,https://github.com/YMFE/yapi
12,encode,django-rest-framework,https://github.com/encode/django-rest-framework
13,httpie,httpie,https://github.com/httpie/httpie
14,Kong,insomnia,https://github.com/Kong/insomnia
15,littlecodersh,ItChat,https://github.com/littlecodersh/ItChat
16,paularmstrong,normalizr,https://github.com/paularmstrong/normalizr
17,FallibleInc,security-guide-for-developers,https://github.com/FallibleInc/security-guide-for-developers
18,microsoft,api-guidelines,https://github.com/microsoft/api-guidelines
19,pubkey,rxdb,https://github.com/pubkey/rxdb
20,shieldfy,API-Security-Checklist,https://github.com/shieldfy/API-Security-Checklist
