Sn.No:,User_name,Repository name,Repository url
1,dotnet,AspNetCore.Docs,https://github.com/dotnet/AspNetCore.Docs
2,aspnetboilerplate,aspnetboilerplate,https://github.com/aspnetboilerplate/aspnetboilerplate
3,bitwarden,server,https://github.com/bitwarden/server
4,abpframework,abp,https://github.com/abpframework/abp
5,nopSolutions,nopCommerce,https://github.com/nopSolutions/nopCommerce
6,ElectronNET,Electron.NET,https://github.com/ElectronNET/Electron.NET
7,thangchung,clean-code-dotnet,https://github.com/thangchung/clean-code-dotnet
8,RicoSuter,NSwag,https://github.com/RicoSuter/NSwag
9,smartstore,SmartStoreNET,https://github.com/smartstore/SmartStoreNET
10,JimBobSquarePants,ImageProcessor,https://github.com/JimBobSquarePants/ImageProcessor
11,dotnet,aspnet-api-versioning,https://github.com/dotnet/aspnet-api-versioning
12,serenity-is,Serenity,https://github.com/serenity-is/Serenity
13,loic-sharma,BaGet,https://github.com/loic-sharma/BaGet
14,mjebrahimi,Awesome-Microservices-DotNet,https://github.com/mjebrahimi/Awesome-Microservices-DotNet
15,TrilonIO,aspnetcore-angular-universal,https://github.com/TrilonIO/aspnetcore-angular-universal
16,TrilonIO,aspnetcore-Vue-starter,https://github.com/TrilonIO/aspnetcore-Vue-starter
17,MarimerLLC,csla,https://github.com/MarimerLLC/csla
18,antonioCoco,SharPyShell,https://github.com/antonioCoco/SharPyShell
19,riganti,dotvvm,https://github.com/riganti/dotvvm
20,cornflourblue,aspnet-core-3-jwt-authentication-api,https://github.com/cornflourblue/aspnet-core-3-jwt-authentication-api
