Sn.No:,User_name,Repository name,Repository url
1,jwasham,coding-interview-university,https://github.com/jwasham/coding-interview-university
2,CyC2018,CS-Notes,https://github.com/CyC2018/CS-Notes
3,trekhleb,javascript-algorithms,https://github.com/trekhleb/javascript-algorithms
4,TheAlgorithms,Python,https://github.com/TheAlgorithms/Python
5,yangshun,tech-interview-handbook,https://github.com/yangshun/tech-interview-handbook
6,kdn251,interviews,https://github.com/kdn251/interviews
7,azl397985856,leetcode,https://github.com/azl397985856/leetcode
8,TheAlgorithms,Java,https://github.com/TheAlgorithms/Java
9,algorithm-visualizer,algorithm-visualizer,https://github.com/algorithm-visualizer/algorithm-visualizer
10,youngyangyang04,leetcode-master,https://github.com/youngyangyang04/leetcode-master
11,crossoverJie,JCSprout,https://github.com/crossoverJie/JCSprout
12,halfrost,LeetCode-Go,https://github.com/halfrost/LeetCode-Go
13,donnemartin,interactive-coding-challenges,https://github.com/donnemartin/interactive-coding-challenges
14,huihut,interview,https://github.com/huihut/interview
15,TheAlgorithms,JavaScript,https://github.com/TheAlgorithms/JavaScript
16,keon,algorithms,https://github.com/keon/algorithms
17,TheAlgorithms,C-Plus-Plus,https://github.com/TheAlgorithms/C-Plus-Plus
18,trekhleb,homemade-machine-learning,https://github.com/trekhleb/homemade-machine-learning
19,mxgmn,WaveFunctionCollapse,https://github.com/mxgmn/WaveFunctionCollapse
20,AtsushiSakai,PythonRobotics,https://github.com/AtsushiSakai/PythonRobotics
