Sn.No:,User_name,Repository name,Repository url
1,flutter,flutter,https://github.com/flutter/flutter
2,justjavac,free-programming-books-zh_CN,https://github.com/justjavac/free-programming-books-zh_CN
3,Genymobile,scrcpy,https://github.com/Genymobile/scrcpy
4,Hack-with-Github,Awesome-Hacking,https://github.com/Hack-with-Github/Awesome-Hacking
5,google,material-design-icons,https://github.com/google/material-design-icons
6,wasabeef,awesome-android-ui,https://github.com/wasabeef/awesome-android-ui
7,Solido,awesome-flutter,https://github.com/Solido/awesome-flutter
8,square,okhttp,https://github.com/square/okhttp
9,android,architecture-samples,https://github.com/android/architecture-samples
10,square,retrofit,https://github.com/square/retrofit
11,dcloudio,uni-app,https://github.com/dcloudio/uni-app
12,fastlane,fastlane,https://github.com/fastlane/fastlane
13,PhilJay,MPAndroidChart,https://github.com/PhilJay/MPAndroidChart
14,airbnb,lottie-android,https://github.com/airbnb/lottie-android
15,bumptech,glide,https://github.com/bumptech/glide
16,shadowsocks,shadowsocks-android,https://github.com/shadowsocks/shadowsocks-android
17,laurent22,joplin,https://github.com/laurent22/joplin
18,skylot,jadx,https://github.com/skylot/jadx
19,Blankj,AndroidUtilCode,https://github.com/Blankj/AndroidUtilCode
20,xitu,gold-miner,https://github.com/xitu/gold-miner
