Sn.No:,User_name,Repository name,Repository url
1,ansible,ansible,https://github.com/ansible/ansible
2,bregman-arie,devops-exercises,https://github.com/bregman-arie/devops-exercises
3,trailofbits,algo,https://github.com/trailofbits/algo
4,StreisandEffect,streisand,https://github.com/StreisandEffect/streisand
5,MichaelCade,90DaysOfDevOps,https://github.com/MichaelCade/90DaysOfDevOps
6,kubernetes-sigs,kubespray,https://github.com/kubernetes-sigs/kubespray
7,ansible,awx,https://github.com/ansible/awx
8,easzlab,kubeasz,https://github.com/easzlab/kubeasz
9,geerlingguy,ansible-for-devops,https://github.com/geerlingguy/ansible-for-devops
10,khuedoan,homelab,https://github.com/khuedoan/homelab
11,ansible-semaphore,semaphore,https://github.com/ansible-semaphore/semaphore
12,Tikam02,DevOps-Guide,https://github.com/Tikam02/DevOps-Guide
13,geerlingguy,mac-dev-playbook,https://github.com/geerlingguy/mac-dev-playbook
14,rundeck,rundeck,https://github.com/rundeck/rundeck
15,KubeOperator,KubeOperator,https://github.com/KubeOperator/KubeOperator
16,clong,DetectionLab,https://github.com/clong/DetectionLab
17,netbootxyz,netboot.xyz,https://github.com/netbootxyz/netboot.xyz
18,ansible-community,molecule,https://github.com/ansible-community/molecule
19,litmuschaos,litmus,https://github.com/litmuschaos/litmus
20,opendevops-cn,opendevops,https://github.com/opendevops-cn/opendevops
