Sn.No:,User_name,Repository name,Repository url
1,babel,babel,https://github.com/babel/babel
2,nylas,nylas-mail,https://github.com/nylas/nylas-mail
3,swc-project,swc,https://github.com/swc-project/swc
4,kriasoft,react-starter-kit,https://github.com/kriasoft/react-starter-kit
5,electron-react-boilerplate,electron-react-boilerplate,https://github.com/electron-react-boilerplate/electron-react-boilerplate
6,avajs,ava,https://github.com/avajs/ava
7,SimulatedGREG,electron-vue,https://github.com/SimulatedGREG/electron-vue
8,grab,front-end-guide,https://github.com/grab/front-end-guide
9,jamiebuilds,babel-handbook,https://github.com/jamiebuilds/babel-handbook
10,grommet,grommet,https://github.com/grommet/grommet
11,developit,htm,https://github.com/developit/htm
12,ben-rogerson,twin.macro,https://github.com/ben-rogerson/twin.macro
13,angular-fullstack,generator-angular-fullstack,https://github.com/angular-fullstack/generator-angular-fullstack
14,documentationjs,documentation,https://github.com/documentationjs/documentation
15,insin,nwb,https://github.com/insin/nwb
16,thinkjs,thinkjs,https://github.com/thinkjs/thinkjs
17,egoist,poi,https://github.com/egoist/poi
18,fkling,astexplorer,https://github.com/fkling/astexplorer
19,transitive-bullshit,create-react-library,https://github.com/transitive-bullshit/create-react-library
20,babel,babel-loader,https://github.com/babel/babel-loader
