Sn.No:,User_name,Repository name,Repository url
1,jlevy,the-art-of-command-line,https://github.com/jlevy/the-art-of-command-line
2,nvm-sh,nvm,https://github.com/nvm-sh/nvm
3,junegunn,fzf,https://github.com/junegunn/fzf
4,google,zx,https://github.com/google/zx
5,dylanaraps,pure-bash-bible,https://github.com/dylanaraps/pure-bash-bible
6,LeCoupa,awesome-cheatsheets,https://github.com/LeCoupa/awesome-cheatsheets
7,koalaman,shellcheck,https://github.com/koalaman/shellcheck
8,starship,starship,https://github.com/starship/starship
9,mathiasbynens,dotfiles,https://github.com/mathiasbynens/dotfiles
10,acmesh-official,acme.sh,https://github.com/acmesh-official/acme.sh
11,alebcay,awesome-shell,https://github.com/alebcay/awesome-shell
12,withfig,autocomplete,https://github.com/withfig/autocomplete
13,jaywcjlove,linux-command,https://github.com/jaywcjlove/linux-command
14,dylanaraps,neofetch,https://github.com/dylanaraps/neofetch
15,Nyr,openvpn-install,https://github.com/Nyr/openvpn-install
16,rbenv,rbenv,https://github.com/rbenv/rbenv
17,powerline,powerline,https://github.com/powerline/powerline
18,shelljs,shelljs,https://github.com/shelljs/shelljs
19,Bash-it,bash-it,https://github.com/Bash-it/bash-it
20,faressoft,terminalizer,https://github.com/faressoft/terminalizer
