Sn.No:,User_name,Repository name,Repository url
1,bitcoin,bitcoin,https://github.com/bitcoin/bitcoin
2,ccxt,ccxt,https://github.com/ccxt/ccxt
3,freqtrade,freqtrade,https://github.com/freqtrade/freqtrade
4,HelloZeroNet,ZeroNet,https://github.com/HelloZeroNet/ZeroNet
5,askmike,gekko,https://github.com/askmike/gekko
6,solana-labs,solana,https://github.com/solana-labs/solana
7,bbfamily,abu,https://github.com/bbfamily/abu
8,lbryio,lbry-sdk,https://github.com/lbryio/lbry-sdk
9,dvf,blockchain,https://github.com/dvf/blockchain
10,lightningnetwork,lnd,https://github.com/lightningnetwork/lnd
11,yeasy,blockchain_guide,https://github.com/yeasy/blockchain_guide
12,spesmilo,electrum,https://github.com/spesmilo/electrum
13,butor,blackbird,https://github.com/butor/blackbird
14,btcsuite,btcd,https://github.com/btcsuite/btcd
15,bitcoinjs,bitcoinjs-lib,https://github.com/bitcoinjs/bitcoinjs-lib
16,bitcoinj,bitcoinj,https://github.com/bitcoinj/bitcoinj
17,jesse-ai,jesse,https://github.com/jesse-ai/jesse
18,CryptoSignal,Crypto-Signal,https://github.com/CryptoSignal/Crypto-Signal
19,bisq-network,bisq,https://github.com/bisq-network/bisq
20,coinpride,CryptoList,https://github.com/coinpride/CryptoList
