Sn.No:,User_name,Repository name,Repository url
1,CyC2018,CS-Notes,https://github.com/CyC2018/CS-Notes
2,practical-tutorials,project-based-learning,https://github.com/practical-tutorials/project-based-learning
3,azl397985856,leetcode,https://github.com/azl397985856/leetcode
4,fffaraz,awesome-cpp,https://github.com/fffaraz/awesome-cpp
5,x64dbg,x64dbg,https://github.com/x64dbg/x64dbg
6,youngyangyang04,leetcode-master,https://github.com/youngyangyang04/leetcode-master
7,carbon-language,carbon-lang,https://github.com/carbon-language/carbon-lang
8,huihut,interview,https://github.com/huihut/interview
9,microsoft,calculator,https://github.com/microsoft/calculator
10,CMU-Perceptual-Computing-Lab,openpose,https://github.com/CMU-Perceptual-Computing-Lab/openpose
11,yuzu-emu,yuzu,https://github.com/yuzu-emu/yuzu
12,TheAlgorithms,C-Plus-Plus,https://github.com/TheAlgorithms/C-Plus-Plus
13,changkun,modern-cpp-tutorial,https://github.com/changkun/modern-cpp-tutorial
14,ethereum,solidity,https://github.com/ethereum/solidity
15,doocs,leetcode,https://github.com/doocs/leetcode
16,microsoft,vcpkg,https://github.com/microsoft/vcpkg
17,gabime,spdlog,https://github.com/gabime/spdlog
18,catchorg,Catch2,https://github.com/catchorg/Catch2
19,AnthonyCalandra,modern-cpp-features,https://github.com/AnthonyCalandra/modern-cpp-features
20,ssloy,tinyrenderer,https://github.com/ssloy/tinyrenderer
