Sn.No:,User_name,Repository name,Repository url
1,Genymobile,scrcpy,https://github.com/Genymobile/scrcpy
2,neovim,neovim,https://github.com/neovim/neovim
3,git,git,https://github.com/git/git
4,obsproject,obs-studio,https://github.com/obsproject/obs-studio
5,fffaraz,awesome-cpp,https://github.com/fffaraz/awesome-cpp
6,serhii-londar,open-source-mac-os-apps,https://github.com/serhii-londar/open-source-mac-os-apps
7,FFmpeg,FFmpeg,https://github.com/FFmpeg/FFmpeg
8,vim,vim,https://github.com/vim/vim
9,curl,curl,https://github.com/curl/curl
10,huihut,interview,https://github.com/huihut/interview
11,ggreer,the_silver_searcher,https://github.com/ggreer/the_silver_searcher
12,pbatard,rufus,https://github.com/pbatard/rufus
13,mpv-player,mpv,https://github.com/mpv-player/mpv
14,ruby,ruby,https://github.com/ruby/ruby
15,ossrs,srs,https://github.com/ossrs/srs
16,google,flatbuffers,https://github.com/google/flatbuffers
17,oracle,graal,https://github.com/oracle/graal
18,radareorg,radare2,https://github.com/radareorg/radare2
19,microsoft,vcpkg,https://github.com/microsoft/vcpkg
20,kovidgoyal,kitty,https://github.com/kovidgoyal/kitty
