Sn.No:,User_name,Repository name,Repository url
1,CSSEGISandData,COVID-19,https://github.com/CSSEGISandData/COVID-19
2,covid19india,covid19india-react,https://github.com/covid19india/covid19india-react
3,nytimes,covid-19-data,https://github.com/nytimes/covid-19-data
4,tokyo-metropolitan-gov,covid19,https://github.com/tokyo-metropolitan-gov/covid19
5,owid,covid-19-data,https://github.com/owid/covid-19-data
6,pcm-dpc,COVID-19,https://github.com/pcm-dpc/COVID-19
7,ieee8023,covid-chestxray-dataset,https://github.com/ieee8023/covid-chestxray-dataset
8,disease-sh,API,https://github.com/disease-sh/API
9,geohot,corona,https://github.com/geohot/corona
10,WorldHealthOrganization,app,https://github.com/WorldHealthOrganization/app
11,corona-warn-app,cwa-server,https://github.com/corona-warn-app/cwa-server
12,ahmadawais,corona-cli,https://github.com/ahmadawais/corona-cli
13,github,covid19-dashboard,https://github.com/github/covid19-dashboard
14,ExpDev07,coronavirus-tracker-api,https://github.com/ExpDev07/coronavirus-tracker-api
15,soroushchehresa,awesome-coronavirus,https://github.com/soroushchehresa/awesome-coronavirus
16,mhdhejazi,CoronaTracker,https://github.com/mhdhejazi/CoronaTracker
17,neherlab,covid19_scenarios,https://github.com/neherlab/covid19_scenarios
18,chandrikadeb7,Face-Mask-Detection,https://github.com/chandrikadeb7/Face-Mask-Detection
19,pomber,covid19,https://github.com/pomber/covid19
20,covidpass-org,covidpass,https://github.com/covidpass-org/covidpass
