Sn.No:,User_name,Repository name,Repository url
1,iamadamdev,bypass-paywalls-chrome,https://github.com/iamadamdev/bypass-paywalls-chrome
2,jaywcjlove,linux-command,https://github.com/jaywcjlove/linux-command
3,refined-github,refined-github,https://github.com/refined-github/refined-github
4,darkreader,darkreader,https://github.com/darkreader/darkreader
5,checkly,headless-recorder,https://github.com/checkly/headless-recorder
6,unbug,codelf,https://github.com/unbug/codelf
7,Anarios,return-youtube-dislike,https://github.com/Anarios/return-youtube-dislike
8,crimx,ext-saladict,https://github.com/crimx/ext-saladict
9,gildas-lormeau,SingleFile,https://github.com/gildas-lormeau/SingleFile
10,listen1,listen1_chrome_extension,https://github.com/listen1/listen1_chrome_extension
11,dailydotdev,daily,https://github.com/dailydotdev/daily
12,appbaseio,dejavu,https://github.com/appbaseio/dejavu
13,alyssaxuu,screenity,https://github.com/alyssaxuu/screenity
14,Kenshin,simpread,https://github.com/Kenshin/simpread
15,ajayyy,SponsorBlock,https://github.com/ajayyy/SponsorBlock
16,AutomaApp,automa,https://github.com/AutomaApp/automa
17,alyssaxuu,omni,https://github.com/alyssaxuu/omni
18,dessant,buster,https://github.com/dessant/buster
19,manojVivek,medium-unlimited,https://github.com/manojVivek/medium-unlimited
20,webclipper,web-clipper,https://github.com/webclipper/web-clipper
