Sn.No:,User_name,Repository name,Repository url
1,electron,electron,https://github.com/electron/electron
2,puppeteer,puppeteer,https://github.com/puppeteer/puppeteer
3,microsoft,playwright,https://github.com/microsoft/playwright
4,FiloSottile,mkcert,https://github.com/FiloSottile/mkcert
5,iamadamdev,bypass-paywalls-chrome,https://github.com/iamadamdev/bypass-paywalls-chrome
6,ovity,octotree,https://github.com/ovity/octotree
7,jaywcjlove,linux-command,https://github.com/jaywcjlove/linux-command
8,segmentio,nightmare,https://github.com/segmentio/nightmare
9,checkly,headless-recorder,https://github.com/checkly/headless-recorder
10,google,WebFundamentals,https://github.com/google/WebFundamentals
11,prisma-archive,chromeless,https://github.com/prisma-archive/chromeless
12,casesandberg,react-color,https://github.com/casesandberg/react-color
13,GoogleChrome,chrome-extensions-samples,https://github.com/GoogleChrome/chrome-extensions-samples
14,crimx,ext-saladict,https://github.com/crimx/ext-saladict
15,gildas-lormeau,SingleFile,https://github.com/gildas-lormeau/SingleFile
16,MetaMask,metamask-extension,https://github.com/MetaMask/metamask-extension
17,chromedp,chromedp,https://github.com/chromedp/chromedp
18,uBlock-LLC,uBlock,https://github.com/uBlock-LLC/uBlock
19,alvarcarto,url-to-pdf-api,https://github.com/alvarcarto/url-to-pdf-api
20,Kenshin,simpread,https://github.com/Kenshin/simpread
