Sn.No:,User_name,Repository name,Repository url
1,metabase,metabase,https://github.com/metabase/metabase
2,penpot,penpot,https://github.com/penpot/penpot
3,logseq,logseq,https://github.com/logseq/logseq
4,deeplearning4j,deeplearning4j,https://github.com/deeplearning4j/deeplearning4j
5,LightTable,LightTable,https://github.com/LightTable/LightTable
6,kanaka,mal,https://github.com/kanaka/mal
7,lk-geimfari,awesomo,https://github.com/lk-geimfari/awesomo
8,tonsky,datascript,https://github.com/tonsky/datascript
9,reagent-project,reagent,https://github.com/reagent-project/reagent
10,riemann,riemann,https://github.com/riemann/riemann
11,weavejester,compojure,https://github.com/weavejester/compojure
12,bbatsov,clojure-style-guide,https://github.com/bbatsov/clojure-style-guide
13,izhangzhihao,intellij-rainbow-brackets,https://github.com/izhangzhihao/intellij-rainbow-brackets
14,status-im,status-mobile,https://github.com/status-im/status-mobile
15,ring-clojure,ring,https://github.com/ring-clojure/ring
16,clojure-emacs,cider,https://github.com/clojure-emacs/cider
17,viebel,klipse,https://github.com/viebel/klipse
18,babashka,babashka,https://github.com/babashka/babashka
19,tallesl,Rich-Hickey-fanclub,https://github.com/tallesl/Rich-Hickey-fanclub
20,bhauman,lein-figwheel,https://github.com/bhauman/lein-figwheel
