Sn.No:,User_name,Repository name,Repository url
1,vercel,next.js,https://github.com/vercel/next.js
2,rust-lang,rust,https://github.com/rust-lang/rust
3,sveltejs,svelte,https://github.com/sveltejs/svelte
4,webpack,webpack,https://github.com/webpack/webpack
5,gatsbyjs,gatsby,https://github.com/gatsbyjs/gatsby
6,JetBrains,kotlin,https://github.com/JetBrains/kotlin
7,babel,babel,https://github.com/babel/babel
8,parcel-bundler,parcel,https://github.com/parcel-bundler/parcel
9,evanw,esbuild,https://github.com/evanw/esbuild
10,vlang,v,https://github.com/vlang/v
11,markedjs,marked,https://github.com/markedjs/marked
12,carbon-language,carbon-lang,https://github.com/carbon-language/carbon-lang
13,swc-project,swc,https://github.com/swc-project/swc
14,vercel,pkg,https://github.com/vercel/pkg
15,v8,v8,https://github.com/v8/v8
16,ziglang,zig,https://github.com/ziglang/zig
17,AssemblyScript,assemblyscript,https://github.com/AssemblyScript/assemblyscript
18,nim-lang,Nim,https://github.com/nim-lang/Nim
19,Konloch,bytecode-viewer,https://github.com/Konloch/bytecode-viewer
20,RustPython,RustPython,https://github.com/RustPython/RustPython
