Sn.No:,User_name,Repository name,Repository url
1,localstack,localstack,https://github.com/localstack/localstack
2,harness,drone,https://github.com/harness/drone
3,jenkinsci,jenkins,https://github.com/jenkinsci/jenkins
4,auchenberg,volkswagen,https://github.com/auchenberg/volkswagen
5,theonedev,onedev,https://github.com/theonedev/onedev
6,openshift,origin,https://github.com/openshift/origin
7,gocd,gocd,https://github.com/gocd/gocd
8,concourse,concourse,https://github.com/concourse/concourse
9,buildbot,buildbot,https://github.com/buildbot/buildbot
10,gaia-pipeline,gaia,https://github.com/gaia-pipeline/gaia
11,Strider-CD,strider,https://github.com/Strider-CD/strider
12,jenkins-x,jx,https://github.com/jenkins-x/jx
13,ovh,cds,https://github.com/ovh/cds
14,xcpretty,xcpretty,https://github.com/xcpretty/xcpretty
15,hygieia,hygieia,https://github.com/hygieia/hygieia
16,iterative,cml,https://github.com/iterative/cml
17,cake-build,cake,https://github.com/cake-build/cake
18,werf,werf,https://github.com/werf/werf
19,JamesIves,github-pages-deploy-action,https://github.com/JamesIves/github-pages-deploy-action
20,ligurio,awesome-ci,https://github.com/ligurio/awesome-ci
